country_id,country,world_region,economic_organisation,income_groups,main_religion,year,population_male,population_female,income_per_person,life_expectancy,life_expectancy_female,life_expectancy_male,children_per_woman,newborn_mortality,child_mortality,school_years_men,school_years_women,hdi_human_development_index
afg,Afghanistan,south_asia,g77,low_income,muslim,1975,6398955,6191325,1211,46.26,39.891,38.287,7.45,,276.7,0.9,0.1,
afg,Afghanistan,south_asia,g77,low_income,Muslim,1976,6524579,6315724,1241,46.46,40.409,38.801,7.45,,270.6,0.9,0.1,
afg,Afghanistan,south_asia,g77,low_income,muslim,1977,6639627,6427910,1128,46.6,40.945,39.334,7.45,,264.3,0.9,0.1,
afg,Afghanistan,south_asia,g77,low_income,muslim,1978,6726762,6510968,1189,45.02,41.503,39.89,7.45,,257.9,1,0.1,
afg,Afghanistan,south_asia,g77,low_income,muslim,1979,6763628,6543071,1165,43.57,42.086,40.471,7.45,,251.5,1,0.1,
afg,Afghanistan,south_asia,g77,low_income,muslim,1980,6736958,6511414,1168,43.26,42.705,41.085,7.45,,244.8,1.1,0.1,
afg,Afghanistan,south_asia,g77,low_income,muslim,1981,6642671,6411285,1295,44.06,43.369,41.738,7.45,,238.2,1.1,0.1,
afg,Afghanistan,south_asia,g77,low_income,muslim,1982,6493971,6255676,1414,43.75,44.08,42.432,7.45,,231.5,1.2,0.1,
afg,Afghanistan,south_asia,g77,low_income,muslim,1983,6317189,6072080,1467,42.02,44.837,43.164,7.45,,224.6,1.2,0.1,
afg,Afghanistan,south_asia,g77,low_income,muslim,1984,6148695,5898423,1443,39.77,45.636,43.93,7.46,,217.9,1.3,0.1,
afg,Afghanistan,south_asia,g77,low_income,muslim,1985,6018080,5764973,1397,41.61,46.473,44.728,7.46,,210.9,1.3,0.1,
afg,Afghanistan,south_asia,g77,low_income,muslim,1986,5926288,5674753,1500,42.58,47.345,45.554,7.46,,204.1,1.4,0.1,
afg,Afghanistan,south_asia,g77,low_income,muslim,1987,5874816,5627941,1242,44.7,48.239,46.399,7.46,,197.2,1.4,0.1,
afg,Afghanistan,south_asia,g77,low_income,Muslim,1988,5893326,5647575,1124,46.97,49.138,47.249,7.46,,190.5,1.4,0.1,
afg,Afghanistan,south_asia,g77,low_income,Muslim,1989,6017390,5760226,1098,50.78,50.024,48.086,7.46,,183.8,1.5,0.1,
afg,Afghanistan,south_asia,g77,low_income,muslim,1990,6267968,5981147,1038,51.61,50.874,48.89,7.47,52.8,177.3,1.5,0.1,0.295
afg,Afghanistan,south_asia,g77,low_income,muslim,1991,6666302,6327357,1032,51.29,51.667,49.638,7.48,51.9,171.1,1.6,0.2,0.3
afg,Afghanistan,south_asia,g77,low_income,muslim,1992,7195464,6785758,950,51.42,52.393,50.323,7.5,50.9,165.2,1.6,0.2,0.309
afg,Afghanistan,south_asia,g77,low_income,Muslim,1993,7791067,7304033,818,51.35,53.051,50.941,7.54,49.9,159.6,1.7,0.2,0.305
afg,Afghanistan,south_asia,g77,low_income,muslim,1994,8363387,7809326,732,50.71,53.643,51.497,7.57,49.1,154.5,1.8,0.2,0.3
afg,Afghanistan,south_asia,g77,low_income,muslim,1995,8849356,8250185,881,51.07,54.179,51.999,7.61,48.2,149.6,1.8,0.2,0.324
afg,Afghanistan,south_asia,g77,low_income,muslim,1996,9219569,8603315,904,51.4,54.676,52.465,7.63,47.5,145.1,1.9,0.2,0.328
afg,Afghanistan,south_asia,g77,low_income,muslim,1997,9495935,8885663,930,51.13,55.156,52.918,7.64,47,141,1.9,0.2,0.332
afg,Afghanistan,south_asia,g77,low_income,muslim,1998,9729042,9134964,956,50.12,55.642,53.379,7.62,46.1,137.1,2,0.2,0.335
afg,Afghanistan,south_asia,g77,low_income,muslim,1999,9995068,9408617,982,51.54,56.145,53.861,7.57,45.6,133.4,2,0.2,0.338
afg,Afghanistan,south_asia,g77,low_income,muslim,2000,10346992,9746775,972,51.63,56.678,54.376,7.49,45.2,129.7,2.1,0.2,0.34
afg,Afghanistan,south_asia,g77,low_income,muslim,2001,10803961,10162498,871,51.69,57.249,54.929,7.39,44.5,126,2.1,0.3,0.341
afg,Afghanistan,south_asia,g77,low_income,muslim,2002,11342077,10637846,1064,52.43,57.849,55.515,7.27,43.9,122.2,2.2,0.3,0.373
afg,Afghanistan,south_asia,g77,low_income,muslim,2003,11919888,11144964,1099,53.03,58.468,56.121,7.14,43.2,118.3,2.3,0.3,0.381
afg,Afghanistan,south_asia,g77,low_income,muslim,2004,12476435,11642549,1062,53.5,59.1,56.74,6.99,42.5,114.4,2.3,0.3,0.396
afg,Afghanistan,south_asia,g77,low_income,muslim,2005,12969246,12101550,1136,53.87,59.73,57.359,6.83,41.7,110.3,2.4,0.3,0.405
afg,Afghanistan,south_asia,g77,low_income,muslim,2006,13381929,12511526,1161,54.15,60.346,57.964,6.65,41,106.3,2.4,0.3,0.415
afg,Afghanistan,south_asia,g77,low_income,muslim,2007,13732620,12884169,1285,54.57,60.933,58.543,6.46,40.4,102.2,2.5,0.3,0.433
afg,Afghanistan,south_asia,g77,low_income,muslim,2008,14054877,13239160,1298,55.21,61.486,59.086,6.25,39.8,98.2,2.6,0.3,0.434
afg,Afghanistan,south_asia,g77,low_income,muslim,2009,14398314,13606015,1531,55.69,61.999,59.589,6.04,39.1,94.1,2.6,0.4,0.448
afg,Afghanistan,south_asia,g77,low_income,muslim,2010,14797692,14005472,1614,56.2,62.476,60.054,5.82,38.7,90.2,,,0.454
ago,Angola,sub_saharan_africa,g77,upper_middle_income,christian,1960,2742587,2900600,3861,42.39,34.737,31.787,7.48,,305.273,,,
ago,Angola,sub_saharan_africa,g77,upper_middle_income,christian,1961,2796483,2956545,4311,43.01,35.07,32.098,7.52,,301.999,,,
ago,Angola,sub_saharan_africa,g77,upper_middle_income,christian,1962,2851982,3014085,4130,43.63,35.421,32.428,7.56,,298.564,,,
ago,Angola,sub_saharan_africa,g77,upper_middle_income,christian,1963,2908156,3072259,4278,44.26,35.789,32.774,7.59,,294.981,,,
ago,Angola,sub_saharan_africa,g77,upper_middle_income,christian,1964,2963664,3129656,4687,44.88,36.173,33.136,7.61,,291.275,,,
ago,Angola,sub_saharan_africa,g77,upper_middle_income,christian,1965,3017780,3185516,4964,45.52,36.568,33.511,7.62,,287.473,,,
ago,Angola,sub_saharan_africa,g77,upper_middle_income,christian,1966,3070225,3239548,5174,46.16,36.971,33.897,7.62,,283.606,,,
ago,Angola,sub_saharan_africa,g77,upper_middle_income,christian,1967,3122101,3292899,5393,46.8,37.379,34.292,7.61,,279.707,,,
ago,Angola,sub_saharan_africa,g77,upper_middle_income,christian,1968,3175775,3348025,5231,47.44,37.787,34.693,7.61,,275.807,,,
ago,Angola,sub_saharan_africa,g77,upper_middle_income,christian,1969,3234432,3408200,5300,48.09,38.194,35.096,7.6,,271.936,,,
ago,Angola,sub_saharan_africa,g77,upper_middle_income,christian,1970,3300465,3475919,5549,48.74,38.601,35.503,7.6,,268.086,1.4,0.5,
ago,Angola,sub_saharan_africa,g77,upper_middle_income,christian,1971,3374939,3552325,5775,48.97,39.011,35.916,7.6,,264.232,1.5,0.5,
ago,Angola,sub_saharan_africa,g77,upper_middle_income,christian,1972,3457646,3637186,5672,49.16,39.426,36.336,7.61,,260.366,1.5,0.5,
ago,Angola,sub_saharan_africa,g77,upper_middle_income,christian,1973,3548041,3729917,6004,49.39,39.843,36.756,7.61,,256.519,1.6,0.5,
ago,Angola,sub_saharan_africa,g77,upper_middle_income,christian,1974,3645025,3829314,6058,49.6,40.258,37.168,7.61,,252.748,1.7,0.6,
ago,Angola,sub_saharan_africa,g77,upper_middle_income,christian,1975,3747884,3934589,5622,49.54,40.663,37.557,7.62,,249.152,1.7,0.6,
ago,Angola,sub_saharan_africa,g77,upper_middle_income,christian,1976,3855958,4045039,5202,49.52,41.05,37.909,7.61,,245.839,1.8,0.6,
ago,Angola,sub_saharan_africa,g77,upper_middle_income,christian,1977,3969749,4161242,5114,49.59,41.412,38.211,7.59,,242.883,1.9,0.7,
ago,Angola,sub_saharan_africa,g77,upper_middle_income,christian,1978,4090950,4285196,4719,49.7,41.742,38.461,7.57,,240.323,2,0.7,
ago,Angola,sub_saharan_africa,g77,upper_middle_income,christian,1979,4221884,4419637,4605,49.79,42.039,38.659,7.54,,238.167,2,0.7,
ago,Angola,sub_saharan_africa,g77,upper_middle_income,christian,1980,4363813,4566092,4591,49.93,42.299,38.808,7.5,,236.4,2.1,0.8,
ago,Angola,sub_saharan_africa,g77,upper_middle_income,christian,1981,4518244,4726259,4249,49.98,42.52,38.919,7.47,,233.6,2.2,0.8,
ago,Angola,sub_saharan_africa,g77,upper_middle_income,christian,1982,4683658,4898491,4107,50.03,42.71,39.009,7.44,,230.5,2.3,0.8,
ago,Angola,sub_saharan_africa,g77,upper_middle_income,christian,1983,4854644,5076925,4135,50.06,42.877,39.091,7.41,,227.8,2.4,0.9,
ago,Angola,sub_saharan_africa,g77,upper_middle_income,christian,1984,5023807,5253507,4244,50.16,43.026,39.174,7.39,,225.4,2.5,0.9,
ago,Angola,sub_saharan_africa,g77,upper_middle_income,christian,1985,5186191,5422854,4264,50.26,43.163,39.255,7.38,,223.9,2.6,1,
ago,Angola,sub_saharan_africa,g77,upper_middle_income,christian,1986,5339058,5581983,4286,50.23,43.289,39.329,7.37,,222.6,2.7,1,
ago,Angola,sub_saharan_africa,g77,upper_middle_income,Christian,1987,5484781,5733486,4478,50,43.41,39.391,7.35,,221.8,2.7,1.1,
ago,Angola,sub_saharan_africa,g77,upper_middle_income,christian,1988,5629705,5884259,4622,49.78,43.537,39.446,7.32,,221.3,2.8,1.1,
ago,Angola,sub_saharan_africa,g77,upper_middle_income,christian,1989,5782986,6044242,4530,50.16,43.682,39.507,7.29,,221.2,2.9,1.2,
ago,Angola,sub_saharan_africa,g77,upper_middle_income,christian,1990,5951051,6220386,4394,50.21,43.854,39.589,7.25,59.1,221.4,3,1.2,
ago,Angola,sub_saharan_africa,g77,upper_middle_income,christian,1991,6137180,6416266,4209,50.79,44.056,39.707,7.19,59.2,222.1,3.1,1.3,
ago,Angola,sub_saharan_africa,g77,upper_middle_income,christian,1992,6339071,6629272,3794,50.96,44.296,39.881,7.13,59.4,222.8,3.2,1.3,
ago,Angola,sub_saharan_africa,g77,upper_middle_income,christian,1993,6550823,6852907,2764,49.7,44.588,40.127,7.06,59.4,223.5,3.3,1.4,
ago,Angola,sub_saharan_africa,g77,upper_middle_income,christian,1994,6763716,7077583,2770,51.13,44.948,40.462,6.99,59.3,223.7,3.4,1.5,
ago,Angola,sub_saharan_africa,g77,upper_middle_income,christian,1995,6972030,7296960,2967,51.96,45.403,40.903,6.92,59.4,223.4,3.5,1.5,
ago,Angola,sub_saharan_africa,g77,upper_middle_income,christian,1996,7173636,7508647,3206,52.31,45.978,41.464,6.85,59.5,222,3.6,1.6,
ago,Angola,sub_saharan_africa,g77,upper_middle_income,christian,1997,7372301,7716675,3366,52.69,46.68,42.141,6.79,59.4,219.7,3.7,1.7,
ago,Angola,sub_saharan_africa,g77,upper_middle_income,christian,1998,7575413,7928907,3499,52.83,47.508,42.923,6.73,58.9,216.5,3.8,1.8,
ago,Angola,sub_saharan_africa,g77,upper_middle_income,christian,1999,7793314,8156455,3511,52.92,48.453,43.802,6.68,58.7,212.2,3.9,1.8,0.382
ago,Angola,sub_saharan_africa,g77,upper_middle_income,christian,2000,8033544,8407377,3509,53.36,49.502,44.767,6.64,58.4,207,4,1.9,0.391
ago,Angola,sub_saharan_africa,g77,upper_middle_income,christian,2001,8298798,8684469,3540,53.64,50.635,45.808,6.6,58.2,200.9,4.1,2,0.401
ago,Angola,sub_saharan_africa,g77,upper_middle_income,christian,2002,8587105,8985543,3184,54.48,51.819,46.904,6.57,57.5,193.9,4.3,2.1,0.406
ago,Angola,sub_saharan_africa,g77,upper_middle_income,christian,2003,8895760,9307609,3235,55.07,53.023,48.031,6.54,57.2,185.7,4.4,2.2,0.415
ago,Angola,sub_saharan_africa,g77,upper_middle_income,christian,2004,9220112,9645611,3461,55.71,54.222,49.167,6.5,56.7,177,4.5,2.3,0.426
ago,Angola,sub_saharan_africa,g77,upper_middle_income,christian,2005,9556744,9995794,3949,56.45,55.404,50.296,6.47,56.1,167.2,4.6,2.4,0.439
ago,Angola,sub_saharan_africa,g77,upper_middle_income,christian,2006,9904947,10357454,4601,56.95,56.568,51.412,6.42,55.5,157.5,4.7,2.5,0.454
ago,Angola,sub_saharan_africa,g77,upper_middle_income,christian,2007,10265906,10731773,5443,57.84,57.714,52.508,6.37,55,147.6,4.9,2.6,0.468
ago,Angola,sub_saharan_africa,g77,upper_middle_income,christian,2008,10640264,11119160,5978,58.58,58.836,53.571,6.31,54.1,137.9,5,2.7,0.48
ago,Angola,sub_saharan_africa,g77,upper_middle_income,christian,2009,11029117,11520424,5908,59.28,59.911,54.581,6.24,53.4,128.3,5.1,2.8,0.488
ago,Angola,sub_saharan_africa,g77,upper_middle_income,christian,2010,11433112,11936012,5895,60.08,60.908,55.506,6.16,52.6,119.4,,,0.495
alb,Albania,europe_central_asia,others,upper_middle_income,muslim,1960,842237,793821,2792,62.66,63.247,61.309,6.49,,187.5,,,
alb,Albania,europe_central_asia,others,upper_middle_income,muslim,1961,867933,817969,2815,63.69,64.325,62.272,6.4,,180.13,,,
alb,Albania,europe_central_asia,others,upper_middle_income,muslim,1962,894555,843090,2908,64.59,65.261,63.117,6.28,,173.049,,,
alb,Albania,europe_central_asia,others,upper_middle_income,muslim,1963,921751,868781,3006,65.33,66.017,63.811,6.13,,166.247,,,
alb,Albania,europe_central_asia,others,upper_middle_income,muslim,1964,949049,894554,3107,65.88,66.585,64.346,5.96,,159.712,,,
alb,Albania,europe_central_asia,others,upper_middle_income,muslim,1965,976100,920028,3219,66.27,66.987,64.723,5.77,,153.434,,,
alb,Albania,europe_central_asia,others,upper_middle_income,muslim,1966,1002748,945045,3337,66.54,67.273,64.962,5.58,,147.403,,,
alb,Albania,europe_central_asia,others,upper_middle_income,muslim,1967,1029038,969657,3460,66.74,67.517,65.116,5.39,,141.609,,,
alb,Albania,europe_central_asia,others,upper_middle_income,muslim,1968,1055100,994053,3581,66.93,67.779,65.233,5.22,,136.043,,,
alb,Albania,europe_central_asia,others,upper_middle_income,muslim,1969,1081135,1018521,3699,67.13,68.084,65.346,5.06,,130.695,,,
alb,Albania,europe_central_asia,others,upper_middle_income,muslim,1970,1107310,1043289,3831,67.39,68.441,65.496,4.91,,125.558,5.1,3.9,
alb,Albania,europe_central_asia,others,upper_middle_income,muslim,1971,1133637,1068406,3975,68.01,68.84,65.714,4.78,,120.622,5.2,4,
alb,Albania,europe_central_asia,others,upper_middle_income,muslim,1972,1160075,1093774,4121,68.63,69.247,66.004,4.64,,115.881,5.3,4.1,
alb,Albania,europe_central_asia,others,upper_middle_income,muslim,1973,1186644,1119353,4317,69.24,69.64,66.356,4.51,,111.326,5.5,4.2,
alb,Albania,europe_central_asia,others,upper_middle_income,muslim,1974,1213405,1145067,4323,69.81,70.014,66.762,4.37,,106.95,5.6,4.3,
alb,Albania,europe_central_asia,others,upper_middle_income,muslim,1975,1240384,1170844,4328,70.35,70.37,67.19,4.24,,102.746,5.7,4.5,
alb,Albania,europe_central_asia,others,upper_middle_income,muslim,1976,1267636,1196696,4335,70.85,70.711,67.596,4.1,,98.707,5.9,4.6,
alb,Albania,europe_central_asia,others,upper_middle_income,Muslim,1977,1295169,1222704,4344,71.32,71.045,67.943,3.97,,94.827,6,4.7,
alb,Albania,europe_central_asia,others,upper_middle_income,muslim,1978,1322941,1248904,4353,71.73,71.382,68.204,3.84,,90.8,6.1,4.8,
alb,Albania,europe_central_asia,others,upper_middle_income,muslim,1979,1350881,1275403,4364,72,71.725,68.376,3.73,22.8,84.1,6.3,4.9,
alb,Albania,europe_central_asia,others,upper_middle_income,muslim,1980,1378964,1302285,4385,72.25,72.085,68.475,3.62,21.6,77.8,6.4,5.1,
alb,Albania,europe_central_asia,others,upper_middle_income,muslim,1981,1406298,1329023,4398,72.4,72.472,68.533,3.53,20.4,72,6.5,5.2,
alb,Albania,europe_central_asia,others,upper_middle_income,muslim,1982,1432752,1355556,4411,72.5,72.885,68.59,3.45,19.2,66.8,6.7,5.3,
alb,Albania,europe_central_asia,others,upper_middle_income,muslim,1983,1459844,1382781,4427,72.61,73.315,68.673,3.38,18,61.9,6.8,5.4,
alb,Albania,europe_central_asia,others,upper_middle_income,Muslim,1984,1489635,1411955,4441,72.8,73.746,68.788,3.32,17,57.4,6.9,5.6,
alb,Albania,europe_central_asia,others,upper_middle_income,muslim,1985,1523127,1443674,4454,72.98,74.15,68.92,3.27,16.1,53.4,7.1,5.7,
alb,Albania,europe_central_asia,others,upper_middle_income,Muslim,1986,1562255,1478747,4471,73.16,74.488,69.04,3.22,15.4,49.8,7.2,5.9,
alb,Albania,europe_central_asia,others,upper_middle_income,muslim,1987,1605284,1516049,4488,73.18,74.741,69.12,3.16,14.8,46.7,7.3,6,
alb,Albania,europe_central_asia,others,upper_middle_income,muslim,1988,1645170,1551896,4505,73.39,74.902,69.145,3.11,14.2,44.1,7.5,6.2,
alb,Albania,europe_central_asia,others,upper_middle_income,muslim,1989,1672367,1581293,4528,73.65,74.978,69.122,3.05,13.7,41.8,7.6,6.3,
alb,Albania,europe_central_asia,others,upper_middle_income,Muslim,1990,1680637,1600815,4557,73.9,74.992,69.07,2.98,13.4,40,7.8,6.5,0.635
alb,Albania,europe_central_asia,others,upper_middle_income,muslim,1991,1666384,1609049,3228,73.88,74.981,69.017,2.91,13.2,38.3,7.9,6.6,0.618
alb,Albania,europe_central_asia,others,upper_middle_income,muslim,1992,1633170,1607420,3014,73.92,74.985,68.997,2.83,13,36.9,8,6.8,0.603
alb,Albania,europe_central_asia,others,upper_middle_income,muslim,1993,1590710,1598871,3324,73.94,75.039,69.037,2.75,12.9,35.5,8.2,6.9,0.608
alb,Albania,europe_central_asia,others,upper_middle_income,muslim,1994,1552811,1587788,3622,73.99,75.158,69.15,2.67,12.9,34.2,8.3,7.1,0.616
alb,Albania,europe_central_asia,others,upper_middle_income,muslim,1995,1529234,1577485,4129,74.14,75.352,69.347,2.59,12.7,32.9,8.4,7.2,0.628
alb,Albania,europe_central_asia,others,upper_middle_income,Muslim,1996,1523594,1568635,4533,74.31,75.618,69.631,2.51,12.5,31.5,8.6,7.4,0.637
alb,Albania,europe_central_asia,others,upper_middle_income,muslim,1997,1532428,1560605,4067,72.47,75.931,69.982,2.42,12.3,30.1,8.7,7.5,0.636
alb,Albania,europe_central_asia,others,upper_middle_income,muslim,1998,1549958,1553796,4461,74.33,76.269,70.376,2.33,11.9,28.7,8.8,7.7,0.646
alb,Albania,europe_central_asia,others,upper_middle_income,muslim,1999,1567205,1548374,5096,74.39,76.616,70.797,2.25,11.7,27.4,9,7.8,0.656
alb,Albania,europe_central_asia,others,upper_middle_income,muslim,2000,1577626,1544339,5470,74.43,76.953,71.215,2.16,11.3,26,9.1,8,0.662
alb,Albania,europe_central_asia,others,upper_middle_income,muslim,2001,1579954,1542448,5960,74.48,77.264,71.6,2.07,11,24.8,9.2,8.2,0.67
alb,Albania,europe_central_asia,others,upper_middle_income,Muslim,2002,1576390,1542645,6231,74.52,77.541,71.937,1.98,10.7,23.5,9.4,8.3,0.674
alb,Albania,europe_central_asia,others,upper_middle_income,muslim,2003,1567933,1543078,6615,74.59,77.782,72.223,1.9,10.3,22.4,9.5,8.5,0.681
alb,Albania,europe_central_asia,others,upper_middle_income,muslim,2004,1556586,1541164,7022,74.72,77.988,72.461,1.82,9.8,21.4,9.6,8.6,0.685
alb,Albania,europe_central_asia,others,upper_middle_income,muslim,2005,1544008,1535172,7462,74.91,78.17,72.678,1.75,9.4,20.4,9.8,8.8,0.696
alb,Albania,europe_central_asia,others,upper_middle_income,muslim,2006,1529967,1524365,7917,75.16,78.344,72.911,1.7,8.9,19.4,9.9,8.9,0.703
alb,Albania,europe_central_asia,others,upper_middle_income,muslim,2007,1514262,1509651,8448,75.4,78.528,73.192,1.67,8.5,18.6,10,9.1,0.713
alb,Albania,europe_central_asia,others,upper_middle_income,muslim,2008,1498574,1493068,9154,75.58,78.733,73.539,1.65,8.2,17.9,10.1,9.2,0.721
alb,Albania,europe_central_asia,others,upper_middle_income,muslim,2009,1485117,1477519,9525,75.88,78.962,73.95,1.65,7.9,17.2,10.2,9.4,0.725
alb,Albania,europe_central_asia,others,upper_middle_income,muslim,2010,1475395,1465122,9927,76.31,79.209,74.404,1.65,7.5,16.6,,,0.738
and,Andorra,europe_central_asia,others,high_income,christian,1960,,,15234,,-,-999,,,,,,
and,Andorra,europe_central_asia,others,high_income,christian,1961,,,16469,,-,-999,,,,,,
and,Andorra,europe_central_asia,others,high_income,Christian,1962,,,17805,,-,-999,,,,,,
and,Andorra,europe_central_asia,others,high_income,christian,1963,,,19248,,-,-999,,,,,,
and,Andorra,europe_central_asia,others,high_income,Christian,1964,,,20809,,-,-999,,,,,,
and,Andorra,europe_central_asia,others,high_income,christian,1965,,,22496,,-,-999,,,,,,
and,Andorra,europe_central_asia,others,high_income,christian,1966,,,24320,,-,-999,,,,,,
and,Andorra,europe_central_asia,others,high_income,christian,1967,,,26291,,-,-999,,,,,,
and,Andorra,europe_central_asia,others,high_income,christian,1968,,,28422,,-,-999,,,,,,
and,Andorra,europe_central_asia,others,high_income,christian,1969,,,30726,,-,-999,,,,,,
and,Andorra,europe_central_asia,others,high_income,christian,1970,,,33216,75.95,-,-999,,,,,,
and,Andorra,europe_central_asia,others,high_income,christian,1971,,,33032,76.26,-,-999,,,,,,
and,Andorra,europe_central_asia,others,high_income,christian,1972,,,33969,76.58,-,-999,,,,,,
and,Andorra,europe_central_asia,others,high_income,christian,1973,,,34892,76.9,-,-999,,,,,,
and,Andorra,europe_central_asia,others,high_income,christian,1974,,,35264,77.18,-,-999,,,,,,
and,Andorra,europe_central_asia,others,high_income,christian,1975,,,34092,77.43,-,-999,,,,,,
and,Andorra,europe_central_asia,others,high_income,christian,1976,,,34041,77.71,-,-999,,,,,,
and,Andorra,europe_central_asia,others,high_income,christian,1977,,,33964,78.01,-,-999,,,,,,
and,Andorra,europe_central_asia,others,high_income,christian,1978,,,33476,78.31,-,-999,,,,,,
and,Andorra,europe_central_asia,others,high_income,christian,1979,,,32471,78.57,-,-999,,,,,,
and,Andorra,europe_central_asia,others,high_income,christian,1980,,,32055,78.73,-,-999,,,,,,
and,Andorra,europe_central_asia,others,high_income,Christian,1981,,,30795,78.8,-,-999,,,,,,
and,Andorra,europe_central_asia,others,high_income,Christian,1982,,,29907,78.77,-,-999,,,,,,
and,Andorra,europe_central_asia,others,high_income,christian,1983,,,29143,78.81,-,-999,,,,,,
and,Andorra,europe_central_asia,others,high_income,christian,1984,,,28394,78.95,-,-999,,,,,,
and,Andorra,europe_central_asia,others,high_income,christian,1985,,,27829,79.07,-,-999,,,12.9,,,
and,Andorra,europe_central_asia,others,high_income,christian,1986,,,27560,79.16,-,-999,,,11.9,,,
and,Andorra,europe_central_asia,others,high_income,christian,1987,,,27932,79.25,-,-999,,,11.1,,,
and,Andorra,europe_central_asia,others,high_income,christian,1988,,,28216,79.32,-,-999,,,10.2,,,
and,Andorra,europe_central_asia,others,high_income,christian,1989,,,28449,79.4,-,-999,,,9.5,,,
and,Andorra,europe_central_asia,others,high_income,christian,1990,,,28417,79.49,-,-999,,4.3,8.8,,,
and,Andorra,europe_central_asia,others,high_income,christian,1991,,,28029,79.54,-,-999,,4,8.1,,,
and,Andorra,europe_central_asia,others,high_income,christian,1992,,,27218,79.6,-,-999,,3.7,7.5,,,
and,Andorra,europe_central_asia,others,high_income,Christian,1993,,,26011,79.8,-,-999,,3.4,7,,,
and,Andorra,europe_central_asia,others,high_income,christian,1994,,,25907,79.97,-,-999,,3.2,6.5,,,
and,Andorra,europe_central_asia,others,high_income,christian,1995,,,26143,80.31,-,-999,,3,6.1,,,
and,Andorra,europe_central_asia,others,high_income,christian,1996,,,27180,80.64,-,-999,,2.8,5.7,,,
and,Andorra,europe_central_asia,others,high_income,christian,1997,,,29729,80.97,-,-999,,2.6,5.3,,,
and,Andorra,europe_central_asia,others,high_income,Christian,1998,,,30819,81.26,-,-999,,2.4,5,,,
and,Andorra,europe_central_asia,others,high_income,christian,1999,,,31940,81.54,-,-999,,2.3,4.8,,,
and,Andorra,europe_central_asia,others,high_income,christian,2000,,,31662,81.8,-,-999,,2.2,4.6,,,
and,Andorra,europe_central_asia,others,high_income,christian,2001,,,31794,82.05,-,-999,,2.1,4.4,,,
and,Andorra,europe_central_asia,others,high_income,christian,2002,,,31866,82.3,-,-999,,2.1,4.2,,,
and,Andorra,europe_central_asia,others,high_income,christian,2003,,,34500,82.39,-,-999,,2,4.1,,,
and,Andorra,europe_central_asia,others,high_income,christian,2004,,,36330,82.33,-,-999,,2,4,,,
and,Andorra,europe_central_asia,others,high_income,christian,2005,,,39787,82.45,-,-999,,1.9,3.8,,,
and,Andorra,europe_central_asia,others,high_income,christian,2006,,,42738,82.55,-,-999,,1.9,3.7,,,
and,Andorra,europe_central_asia,others,high_income,christian,2007,,,43442,82.65,-,-999,,1.8,3.6,,,
and,Andorra,europe_central_asia,others,high_income,christian,2008,,,41426,82.68,-,-999,,1.8,3.5,,,
and,Andorra,europe_central_asia,others,high_income,christian,2009,,,41735,82.65,-,-999,,1.7,3.4,,,
and,Andorra,europe_central_asia,others,high_income,christian,2010,,,38982,82.66,-,-999,,1.7,3.3,,,0.819
